Amount,Wallet Address,Title,Email,Comment (ignored column)
500000,AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,F2p Vesting,test@example.com,
475000,Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,,,
451250,2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,,,
428687.5,FgXxvngJSZAbdiWokN38xc6koixx6QazJfHJ5fvDwmNH,,,
407253.13,2HegnJrgwEs5zNCkbZHwGeHMUghLu6Dku2iEM94uMRzZ,,,
386890.47,3s2M1pPar35oNyKbMaCPGY4tNbpxSUPAueNGLKdQdBud,,,
367545.95,FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,,,
349168.65,3koLk37wAS18EBcb78Rf9YVR3sW93wEYMkop1bJRzgBw,,,
331710.22,Cavm3UoucD3YKs2M8hibXWxD6zkDuswZv8EjLySW8t2X,,,
315124.7,8Qf1MFFtQ2esvTSNcD2uM33Dq8WdtGSGxfQH9TQPTcVc,,,
200000,FgQuDXxgUJu1yyhJyPSPUS6Kh22uVmCefB5uycLziQzL,,,
200000,C28BQHWyLtLJQYQFKLfoNKPtygk6Q18goR168iZ1b9xv,,,
200000,B979a9nhMpQtdUm7eM754t6Ci3XR1s2QEbw2pWruFCZ3,,,
200000,FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,,,
200000,3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,,,
200000,7RGqpAN1zvBuiyKp24xFnDfLsgBt694CipAUPbeAgpEE,,,
200000,Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,,,
200000,4fMd2cbWoxxHmPXibVy2jF2irf2EYT7csM6H511wP6Me,,,
200000,AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,,,
200000,6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,,,
150000,9ZbjGVwvADQ8roWVYXywvut9Thmv5GwtZV2oCtiNuLqS,,,
150000,52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,,,
150000,ABbVp7NFR7mwtJ9z3uteJi15gxKePjFtSFsQXA6j2ixP,,,
150000,BYWUThP5brDmZQhK4tqw7nPUTPaUV2iq9ZAmRvSekjMH,,,
150000,2U6oLVVxRknFT83CS2U48XGFXRyCypK7FNqbngEUBnrh,,,
150000,93fEEKfEuWKv5qgMGjNueW3ZpKLUipYyZ4zUBFbBrywy,,,
150000,4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,,,
150000,FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,,,
150000,8mCpEcwBVhZke6MtjrQ8b3nMKd1VZRH4Ldxh4Ydpm1tJ,,,
150000,88GW6eSHhkyYr6n4YemzFYs8T1swNBMSVpxn3GrLEXKv,,,
100000,5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,,,
100000,6kU22XxT98yXgtUhgVJE8gacxKVUCVLd5r81doeyoae3,,,
100000,C8FWu8bWB8w2HKYKp4kKjHYif8z9mPTUgDjQdLJzju9S,,,
100000,8DECpkLEeEmbrTVK4ysGmuqujrZd7Pb1jTwBBM6jcknv,,,
100000,7tyven3oZc81b2TS6LXwYkKok933b7nRAFB74dQiWXmo,,,
100000,EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,,,
100000,6iXh5CdA6EGvRLKn1UFe6GRvUjFYxXTQZpbgvM8F3H96,,,
100000,Lf2dWfN34anbHXL99S7kgEQkmTyewnsdrNMM6q7mtGw,,,
100000,39KvrNX9tDKyYoRu8DqBLNbStR4ejMU9HU5HtjUjzQsW,,,
100000,9AuQivUAFvyAQ91FTFzk5wkRSYVThTSFWxCfc5L95Xmt,,,
50000,DfTqPf6v4i7HuZvmRix2aeTGDapspvgBvNwLKP5JhvGE,,,
50000,86Q4v6WD77rcSLkxrTUmGMDEYT5gqWoaoxBnZmV2cCbA,,,
50000,EWCZMHcMMFpiZJUFPrWgV8a34YLWs1SfmF4apVnkRzTZ,,,
50000,G43P6FT87fteYErRsbtq3Jr5aBbMPosLJfBAEpJpSBqe,,,
50000,FssGM9Jcu2jq2WMc9p6Ew8y8mzEHsU7DVw3f3AYcfhQZ,,,
50000,GaHmQvmHyPFey1p4tgiDgaz8fvAkxEQ6b7cRwMn5kbJQ,,,
50000,7irD8xgJW4sZhwtTi2aFaCmrGabLitJSmRmAVzGHzQmA,,,
50000,AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,,,
50000,6eQNjqFysvyQbahN7P1n62G4qJDdGUn3sbJyNtpZSzcc,,,
50000,ZojB5FizdoDWJvg2JBtDymLP1efvTxTC1HYyYUtceay,,,
