Amount,Wallet Address,Title,Email,Comment (ignored column)
500000,AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,P2E Vesting,test@example.com,
475000,Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,,,
451250,2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,,,
428687.5,FgXxvngJSZAbdiWokN38xc6koixx6QazJfHJ5fvDwmNH,,,
407253.13,2HegnJrgwEs5zNCkbZHwGeHMUghLu6Dku2iEM94uMRzZ,,,
386890.47,3s2M1pPar35oNyKbMaCPGY4tNbpxSUPAueNGLKdQdBud,,,
367545.95,FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,,,
349168.65,8Qf1MFFtQ2esvTSNcD2uM33Dq8WdtGSGxfQH9TQPTcVc,,,
331710.22,C28BQHWyLtLJQYQFKLfoNKPtygk6Q18goR168iZ1b9xv,,,
315124.7,Cavm3UoucD3YKs2M8hibXWxD6zkDuswZv8EjLySW8t2X,,,
200000,6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,,,
200000,ABbVp7NFR7mwtJ9z3uteJi15gxKePjFtSFsQXA6j2ixP,,,
200000,3koLk37wAS18EBcb78Rf9YVR3sW93wEYMkop1bJRzgBw,,,
200000,52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,,,
200000,BYWUThP5brDmZQhK4tqw7nPUTPaUV2iq9ZAmRvSekjMH,,,
200000,2U6oLVVxRknFT83CS2U48XGFXRyCypK7FNqbngEUBnrh,,,
200000,FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,,,
200000,4HpJnX2w1XriKmJ34ZMgvv2nAZjosQ9e21stgmjQgTce,,,
200000,4cFkjekgGzdqU9tj8GcFaNDA9KSJDr8P1KJtNybVANKu,,,
200000,47b2jfm66L998bT8KYmn5s84rZMnpnXsA4tfrsNYJXeo,,,
150000,8mCpEcwBVhZke6MtjrQ8b3nMKd1VZRH4Ldxh4Ydpm1tJ,,,
150000,FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,,,
150000,GefkwpoQmJV2jB6SmbsS9vH53u4YbwZM1FhhREoP7nMV,,,
150000,4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,,,
150000,B979a9nhMpQtdUm7eM754t6Ci3XR1s2QEbw2pWruFCZ3,,,
150000,7irD8xgJW4sZhwtTi2aFaCmrGabLitJSmRmAVzGHzQmA,,,
150000,3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,,,
150000,39KvrNX9tDKyYoRu8DqBLNbStR4ejMU9HU5HtjUjzQsW,,,
150000,5LMv19bZTGS88vMPVZbD8xuusJcyVHGDXx73bJYCmpbb,,,
150000,Lf2dWfN34anbHXL99S7kgEQkmTyewnsdrNMM6q7mtGw,,,
100000,6iXh5CdA6EGvRLKn1UFe6GRvUjFYxXTQZpbgvM8F3H96,,,
100000,EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,,,
100000,EWCZMHcMMFpiZJUFPrWgV8a34YLWs1SfmF4apVnkRzTZ,,,
100000,Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,,,
100000,C8FWu8bWB8w2HKYKp4kKjHYif8z9mPTUgDjQdLJzju9S,,,
100000,61w6KSfvBpEdYgyiqRVoNU9e5kDcXMzaLUr5HASeJjhp,,,
100000,88GW6eSHhkyYr6n4YemzFYs8T1swNBMSVpxn3GrLEXKv,,,
100000,AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,,,
100000,8DECpkLEeEmbrTVK4ysGmuqujrZd7Pb1jTwBBM6jcknv,,,
100000,DfTqPf6v4i7HuZvmRix2aeTGDapspvgBvNwLKP5JhvGE,,,
50000,9AuQivUAFvyAQ91FTFzk5wkRSYVThTSFWxCfc5L95Xmt,,,
50000,7tyven3oZc81b2TS6LXwYkKok933b7nRAFB74dQiWXmo,,,
50000,FgQuDXxgUJu1yyhJyPSPUS6Kh22uVmCefB5uycLziQzL,,,
50000,G43P6FT87fteYErRsbtq3Jr5aBbMPosLJfBAEpJpSBqe,,,
50000,5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,,,
50000,GaHmQvmHyPFey1p4tgiDgaz8fvAkxEQ6b7cRwMn5kbJQ,,,
50000,6eQNjqFysvyQbahN7P1n62G4qJDdGUn3sbJyNtpZSzcc,,,
50000,AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,,,
50000,86Q4v6WD77rcSLkxrTUmGMDEYT5gqWoaoxBnZmV2cCbA,,,
50000,D6FMG1nxZAZcPgVjfKcxKzSoTuWUrm3gwABmgn9cdyX4,,,
